Canal,Moyenne,Écart-type,Min,Max,Médiane
AF3,4257.788865504907,64.21056012183584,3691.666748,5231.153809,4266.025879
F7,4238.127225060437,61.40080018674858,3797.94873,4689.743652,4251.153809
F3,4300.162636211535,38.3366836588708,3877.05127,4937.307617,4300.0
FC5,4283.767873664669,51.667704406739276,3293.846191,4577.436035,4289.743652
T7,4235.407861475042,71.24936961383405,3660.769287,6229.358887,4247.436035
P7,4225.950655213322,73.74225785424454,3768.589844,5323.077148,4245.512695
O1,4259.232099495163,46.325035789145005,3557.94873,5016.538574,4261.282227
O2,4228.832331188323,61.541023279989695,3841.666748,4613.589844,4243.846191
P8,4219.8856245807165,64.35207966076067,3781.538574,4946.282227,4233.974121
T8,4215.513552595935,69.26079377088858,3508.718018,5214.743652,4227.94873
FC6,4531.656501792368,87.39984158580243,3950.769287,6225.384766,4520.769043
F4,4465.265633159073,45.08822428619677,3930.641113,5458.589844,4463.589844
F8,4374.687324838059,55.03823689573554,3751.538574,5332.179688,4377.05127
AF4,4458.889795455848,71.09670680778865,3904.230713,6954.230957,4453.589844
