Capteur,Moyenne,Écart-type,Min,Max,% Données valides
Q0,0.515777153018551,0.20825471402307763,0.078085,0.785051,24.986826475658006
Q1,0.20986401565571722,0.39201292704298457,-0.75885,0.675476,24.986826475658006
Q2,-0.4898558082353362,0.20274294667623805,-0.70752,-0.049927,24.986826475658006
Q3,0.2960736561818637,0.3523873081350407,-0.638306,0.790161,24.986826475658006
AccX,0.9710636976444937,0.03343344963806575,0.827249,1.014284,24.986826475658006
AccY,-0.10776001930156916,0.14179840710162778,-0.499573,0.189965,24.986826475658006
AccZ,0.04505153186546092,0.08309008573252347,-0.227567,0.284703,24.986826475658006
MagX,-11.554392956607215,5.015585954589368,-20.132538,0.120337,24.986826475658006
MagY,-28.960309746970722,22.445669656119836,-49.989643,17.04405,24.986826475658006
MagZ,69.25241624545163,14.575151577395618,53.089573,100.247078,24.986826475658006
