,n_samples,n_samples,n_samples,n_samples,duration,duration,mean_amplitude,mean_amplitude,std_amplitude
,mean,std,min,max,mean,std,mean,std,mean
word,,,,,,,,,
اختر,1399.2,45.77,1369,1480,10.92,0.36,4304.86,26.13,27.61
اسفل,1476.0,209.66,1377,1851,11.52,1.64,4308.56,24.17,37.0
اعلى,1398.8,41.11,1363,1468,10.91,0.32,4307.71,24.29,25.97
انذار,1392.0,35.84,1361,1454,10.86,0.28,4316.73,36.15,52.55
ايقاف تشغيل,1421.0,82.99,1377,1569,11.09,0.65,4307.34,23.55,31.13
تشغيل,1402.8,29.62,1376,1436,10.95,0.23,4306.37,22.82,23.68
جوع,1424.0,86.69,1378,1578,11.11,0.68,4309.11,24.22,24.02
حذف,1334.2,99.13,1158,1386,10.41,0.77,4319.54,6.1,45.48
حمام,1360.6,113.12,1174,1482,10.62,0.88,4312.27,28.91,29.86
دواء,1394.2,31.95,1375,1451,10.88,0.25,4301.7,21.01,32.08
عطش,1392.2,16.44,1373,1416,10.86,0.13,4300.18,26.01,29.15
لا,1405.8,57.81,1374,1509,10.97,0.45,4306.91,22.45,23.93
مسافة,1398.2,20.33,1377,1429,10.91,0.16,4302.78,26.7,45.5
نعم,1394.6,28.61,1377,1445,10.88,0.22,4304.67,25.8,46.06
يسار,1415.8,70.97,1374,1542,11.05,0.55,4304.37,24.8,44.43
يمين,1384.0,51.36,1319,1463,10.8,0.4,4308.03,25.58,31.57
